date_time,Spot Wind Direction °,Wind Speed mph,Avg. Wind Speed mph,Avg. Wind Direction °,Wind Speed mph,Spot Wind Direction °,Gust Wind Speed mph,Gust Wind Direction °,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Precipitation Yes/No [logic],Road Condition Approach [logic],Road Condition Bridge [logic],Road Temp. Approach °F,Road Temp. Bridge °F,Freeze Point °F,Freeze Point °F,Precipitation Start Time timestamp,Precipitation End Time timestamp,Rel. Humidity %,Road Temp. Approach °F,Water Film Height Approach mil,Freeze Point Approach °F,Saline Concentration Approach %,Friction Approach N/A,Subsurface Temperature Approach °F,Road Condition Bridge [logic],Road Temp. Bridge °F,Water Film Height Bridge mil,Freeze Point Bridge °F,Saline Concentration Bridge %,Friction Bridge N/A,Road Condition Approach [logic],
2016/04/14 19:00:00,149.00,2.68,2.68,130.00,2.68,149.00,10.07,119.00,68.54,53.96,33.08,68.54,36.86,2.00,,,,,,,,,26.00,,,,,,,,,,,,,,
2016/04/14 19:01:00,,,,,,,,,,,,,,,,,,,,,,,,99.31,0.00,,,0.82,54.40,10.00,85.70,0.00,,,0.82,10.00,
2016/04/14 19:10:00,106.00,4.70,2.46,35.00,4.70,85.00,9.17,71.00,69.44,54.68,34.34,69.44,36.86,2.00,,,,,,,,,27.00,99.66,0.00,,,0.82,54.51,10.00,82.76,0.00,,,0.82,10.00,
2016/04/14 19:20:00,192.00,1.34,2.24,165.00,1.34,192.00,12.75,66.00,68.90,54.14,33.26,69.44,36.86,2.00,,,,,,,,,26.00,,,,,,,,,,,,,,
2016/04/14 19:21:00,,,,,,,,,,,,,,,,,,,,,,,,99.63,0.00,,,0.82,54.63,10.00,82.87,0.00,,,0.82,10.00,
2016/04/14 19:30:00,186.00,0.89,3.13,95.00,0.89,186.00,10.29,70.00,68.72,53.96,32.36,69.44,36.86,2.00,,,,,,,,,25.00,,,,,,,,,,,,,,
2016/04/14 19:31:00,,,,,,,,,,,,,,,,,,,,,,,,99.73,0.00,,,0.82,54.74,10.00,81.57,0.00,,,0.82,10.00,
2016/04/14 19:40:00,87.00,4.03,2.91,80.00,4.03,87.00,11.41,101.00,69.08,54.14,32.36,69.44,36.86,2.00,,,,,,,,,25.00,,,,,,,,,,,,,,
2016/04/14 19:41:00,,,,,,,,,,,,,,,,,,,,,,,,100.04,0.00,,,0.82,54.87,10.00,82.25,0.00,,,0.82,10.00,
2016/04/14 19:50:00,106.00,6.04,4.25,125.00,6.04,106.00,9.62,86.00,70.16,54.68,32.00,70.16,36.86,2.00,,,,,,,,,24.00,99.71,0.00,,,0.82,54.99,10.00,80.51,0.00,,,0.82,10.00,
2016/04/14 20:00:00,43.00,2.91,4.03,60.00,2.91,28.00,9.17,130.00,69.44,54.32,31.10,70.16,36.86,2.00,,,,,,,,,24.00,,,,,,,,,,,,,,
2016/04/14 20:01:00,,,,,,,,,,,,,,,,,,,,,,,,98.73,0.00,,,0.82,55.12,10.00,80.35,0.00,,,0.82,10.00,
2016/04/14 20:10:00,87.00,3.80,3.80,80.00,3.80,97.00,10.51,88.00,69.44,54.32,30.38,70.16,36.86,2.00,,,,,,,,,23.00,,,,,,,,,,,,,,
2016/04/14 20:11:00,,,,,,,,,,,,,,,,,,,,,,,,95.16,0.00,,,0.82,55.26,10.00,80.27,0.00,,,0.82,10.00,
2016/04/14 20:20:00,99.00,2.24,4.25,100.00,2.24,99.00,10.07,80.00,69.98,54.50,29.84,70.16,36.86,2.00,,,,,,,,,22.00,,,,,,,,,,,,,,
2016/04/14 20:21:00,,,,,,,,,,,,,,,,,,,,,,,,94.06,0.00,,,0.82,55.39,10.00,80.34,0.00,,,0.82,10.00,
2016/04/14 20:30:00,102.00,10.07,5.14,110.00,10.07,102.00,10.07,107.00,69.26,54.14,29.48,70.16,36.86,2.00,,,,,,,,,22.00,,,,,,,,,,,,,,
