date_time,Wind Speed mph,Avg. Wind Speed mph,Avg. Wind Direction °,Wind Speed mph,Spot Wind Direction °,Gust Wind Speed mph,Gust Wind Direction °,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Precipitation Yes/No [logic],Road Condition Approach [logic],Road Temp. Approach °F,Freeze Point °F,Precipitation Start Time timestamp,Precipitation End Time timestamp,Rel. Humidity %,Sub Surface Temperature °F,Surface Salinity Approach %,
2016/04/14 19:00:00,9.62,9.17,115.00,9.62,101.00,15.43,63.00,60.44,48.56,29.48,60.98,34.88,2.00,3.00,93.38,,2016/04/12 07:39:42,2016/04/12 07:39:46,30.00,53.06,,
2016/04/14 19:10:00,6.49,8.05,100.00,7.38,102.00,16.33,94.00,60.44,48.56,29.48,60.98,34.88,2.00,3.00,93.38,,2016/04/12 07:39:42,2016/04/12 07:39:46,30.00,53.06,,
2016/04/14 19:20:00,12.97,10.07,100.00,12.97,97.00,17.90,77.00,61.34,49.28,30.02,61.52,34.88,2.00,3.00,93.38,,2016/04/12 07:39:42,2016/04/12 07:39:46,30.00,53.42,,
2016/04/14 19:30:00,5.82,8.72,110.00,5.82,124.00,14.76,105.00,61.52,49.28,30.02,61.88,34.88,2.00,3.00,94.46,,2016/04/12 07:39:42,2016/04/12 07:39:46,30.00,53.60,,
2016/04/14 19:40:00,9.84,8.50,130.00,9.62,134.00,15.88,113.00,62.06,49.64,30.38,62.24,34.88,2.00,3.00,94.10,,2016/04/12 07:39:42,2016/04/12 07:39:46,30.00,53.78,,
2016/04/14 19:50:00,6.49,6.71,130.00,6.49,155.00,13.65,132.00,62.24,49.82,31.10,62.60,34.88,2.00,3.00,93.38,,2016/04/12 07:39:42,2016/04/12 07:39:46,30.00,53.96,,
2016/04/14 20:00:00,9.62,10.07,120.00,9.62,81.00,14.99,115.00,62.06,49.82,30.92,63.14,34.88,2.00,3.00,92.48,,2016/04/12 07:39:42,2016/04/12 07:39:46,30.00,54.14,,
2016/04/14 20:10:00,8.95,10.51,90.00,8.95,121.00,14.54,85.00,62.24,50.00,31.46,63.14,34.88,2.00,3.00,91.94,,2016/04/12 07:39:42,2016/04/12 07:39:46,31.00,54.32,,
2016/04/14 20:20:00,7.83,7.16,110.00,7.83,119.00,14.54,132.00,62.96,50.54,32.00,63.14,34.88,2.00,3.00,91.76,,2016/04/12 07:39:42,2016/04/12 07:39:46,31.00,54.50,,
2016/04/14 20:30:00,8.50,7.38,125.00,8.50,129.00,16.78,136.00,63.14,50.54,32.18,63.32,34.88,2.00,3.00,90.68,,2016/04/12 07:39:42,2016/04/12 07:39:46,31.00,54.68,,
