date_time,Spot Wind Direction °,Avg. Wind Speed mph,Avg. Wind Direction °,Wind Speed mph,Spot Wind Direction °,Gust Wind Speed mph,Gust Wind Direction °,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Precipitation Yes/No [logic],Road Condition Approach [logic],Road Condition Bridge [logic],Road Temp. Approach °F,Road Temp. Bridge °F,Freeze Point °F,Freeze Point °F,Precipitation Start Time timestamp,Precipitation End Time timestamp,Rel. Humidity %,Visibility m,Sub Surface Temperature °F,Surface Salinity Bridge %,
2016/04/14 19:00:00,3.00,,,,,,,65.30,50.18,34.16,66.38,36.50,2.00,3.00,,93.38,,,,,,31.00,2000.00,,,
2016/04/14 19:10:00,3.00,,,,,,,66.56,51.26,35.96,66.56,36.50,2.00,3.00,,94.28,,,,,,32.00,2000.00,,,
2016/04/14 19:20:00,3.00,,,,,,,66.74,51.26,35.60,67.46,36.50,2.00,3.00,,93.92,,,,,,31.00,2000.00,,,
2016/04/14 19:30:00,3.00,,,,,,,66.56,50.72,34.34,67.46,36.50,2.00,3.00,,95.00,,,,,,30.00,2000.00,,,
2016/04/14 19:40:00,3.00,,,,,,,67.10,51.44,35.78,67.46,36.50,2.00,3.00,,95.18,,,,,,31.00,2000.00,,,
2016/04/14 19:50:00,3.00,,,,,,,67.10,51.08,34.88,67.82,36.50,2.00,3.00,,93.38,,,,,,30.00,2000.00,,,
2016/04/14 20:00:00,3.00,,,,,,,68.72,51.44,33.26,68.72,36.50,2.00,3.00,,92.84,,,,,,27.00,2000.00,,,
2016/04/14 20:10:00,3.00,,,,,,,68.36,51.80,35.24,68.72,36.50,2.00,3.00,,91.94,,,,,,29.00,2000.00,,,
2016/04/14 20:20:00,3.00,,,,,,,67.82,51.08,33.44,68.72,36.50,2.00,3.00,,90.32,,,,,,28.00,2000.00,,,
2016/04/14 20:30:00,3.00,,,,,,,68.72,52.34,36.32,68.72,36.50,2.00,3.00,,91.58,,,,,,30.00,2000.00,,,
