date_time,Spot Wind Direction °,Wind Speed mph,Avg. Wind Speed mph,Avg. Wind Direction °,Wind Speed mph,Spot Wind Direction °,Gust Wind Speed mph,Gust Wind Direction °,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Precipitation Yes/No [logic],Road Condition Approach [logic],Road Condition Bridge [logic],Road Temp. Approach °F,Road Temp Bridge °F,Freeze Point Bridge °F,Precipitation Start Time timestamp,Precipitation End Time timestamp,Rel. Humidity %,WaterFilm Height Bridge mil,Saline Concentration Bridge %,Friction Bridge N/A,
2016/04/14 19:00:00,41.00,13.20,11.86,40.00,13.20,41.00,18.79,89.00,58.10,47.12,28.40,58.46,33.44,2.00,3.00,,86.36,,,2016/04/11 10:00:53,2016/04/11 10:05:09,31.00,,,,
2016/04/14 19:01:00,,,,,,,,,,,,,,,,10.00,,83.46,,,,,0.00,,0.82,
2016/04/14 19:10:00,86.00,10.74,12.97,85.00,10.51,90.00,16.78,72.00,58.46,47.30,28.22,58.64,33.44,2.00,3.00,10.00,85.82,83.75,,2016/04/11 10:00:53,2016/04/11 10:05:09,31.00,0.00,,0.82,
2016/04/14 19:20:00,56.00,10.96,12.30,40.00,10.96,56.00,16.55,40.00,59.54,48.02,29.66,59.90,33.44,2.00,3.00,,85.28,,,2016/04/11 10:00:53,2016/04/11 10:05:09,31.00,,,,
2016/04/14 19:21:00,,,,,,,,,,,,,,,,10.00,,83.57,,,,,0.00,,0.82,
2016/04/14 19:30:00,87.00,13.65,11.41,60.00,13.65,87.00,16.33,77.00,59.90,48.20,29.48,60.62,33.44,2.00,3.00,,85.64,,,2016/04/11 10:00:53,2016/04/11 10:05:09,31.00,,,,
2016/04/14 19:31:00,,,,,,,,,,,,,,,,10.00,,83.74,,,,,0.22,,0.82,
2016/04/14 19:40:00,59.00,10.51,10.29,65.00,10.51,58.00,16.33,70.00,58.28,47.30,29.48,60.62,33.44,2.00,3.00,,84.92,,,2016/04/11 10:00:53,2016/04/11 10:05:09,33.00,,,,
2016/04/14 19:41:00,,,,,,,,,,,,,,,,10.00,,83.33,,,,,0.00,,0.82,
2016/04/14 19:50:00,44.00,9.62,10.29,55.00,9.62,44.00,19.01,73.00,59.00,47.84,30.20,60.62,33.44,2.00,3.00,,84.38,,,2016/04/11 10:00:53,2016/04/11 10:05:09,33.00,,,,
2016/04/14 19:51:00,,,,,,,,,,,,,,,,10.00,,83.06,,,,,0.00,,0.82,
2016/04/14 20:00:00,45.00,5.59,7.61,55.00,5.59,45.00,17.90,47.00,59.54,48.20,30.56,60.62,33.44,2.00,3.00,,84.74,,,2016/04/11 10:00:53,2016/04/11 10:05:09,33.00,,,,
2016/04/14 20:01:00,,,,,,,,,,,,,,,,10.00,,82.79,,,,,0.00,,0.82,
2016/04/14 20:10:00,69.00,11.86,12.08,40.00,11.86,69.00,18.12,42.00,59.90,48.56,30.92,60.62,33.44,2.00,3.00,,84.38,,,2016/04/11 10:00:53,2016/04/11 10:05:09,33.00,,,,
2016/04/14 20:11:00,,,,,,,,,,,,,,,,10.00,,82.59,,,,,0.00,,0.82,
2016/04/14 20:20:00,109.00,7.61,10.74,95.00,7.61,109.00,18.34,82.00,60.44,48.74,30.92,60.80,33.44,2.00,3.00,,83.48,,,2016/04/11 10:00:53,2016/04/11 10:05:09,32.00,,,,
2016/04/14 20:21:00,,,,,,,,,,,,,,,,10.00,,82.33,,,,,0.00,,0.82,
2016/04/14 20:30:00,45.00,10.07,11.41,40.00,10.07,45.00,16.11,67.00,59.90,48.56,31.46,60.98,33.44,2.00,3.00,,83.30,,,2016/04/11 10:00:53,2016/04/11 10:05:09,33.00,,,,
