date_time,Spot Wind Direction °,Wind Speed mph,Avg. Wind Speed mph,Avg. Wind Direction °,Wind Speed mph,Spot Wind Direction °,Gust Wind Speed mph,Gust Wind Direction °,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Precipitation Yes/No [logic],Road Condition Approach [logic],Road Condition Bridge [logic],Road Temp. Approach °F,Road Temp. Bridge °F,Freeze Point °F,Freeze Point Bridge °F,Rel. Humidity %,Sub Surface Temperature °F,Surface Salinity Approach %,Surface Salinity Bridge %,
2016/04/14 19:00:00,91.00,19.91,15.88,105.00,19.91,91.00,20.80,76.00,62.60,50.18,30.92,63.86,35.60,2.00,3.00,3.00,93.74,92.84,,,30.00,53.96,,,
2016/04/14 19:10:00,93.00,13.65,16.78,80.00,13.65,93.00,24.83,90.00,63.32,50.54,30.92,63.86,35.60,2.00,3.00,3.00,93.56,92.48,,,29.00,54.14,,,
2016/04/14 19:20:00,110.00,17.00,17.00,110.00,17.00,110.00,23.71,93.00,62.78,50.18,30.38,64.22,35.60,2.00,3.00,3.00,93.56,92.48,,,29.00,54.14,,,
2016/04/14 19:30:00,73.00,17.45,16.11,90.00,17.45,73.00,21.47,97.00,63.32,50.72,31.28,64.22,35.60,2.00,3.00,3.00,93.74,92.12,,,29.00,54.14,,,
2016/04/14 19:40:00,95.00,13.42,16.55,95.00,13.42,95.00,23.71,91.00,63.32,50.54,30.74,64.40,35.60,2.00,3.00,3.00,93.20,93.20,,,29.00,54.32,,,
2016/04/14 19:50:00,95.00,13.87,19.01,75.00,15.66,87.00,26.40,75.00,63.86,50.90,31.28,64.40,35.60,2.00,3.00,3.00,92.84,92.84,,,29.00,54.32,,,
2016/04/14 20:00:00,97.00,12.97,14.99,85.00,12.97,97.00,23.26,80.00,63.32,50.54,30.92,64.40,35.60,2.00,3.00,3.00,92.30,92.48,,,29.00,54.32,,,
2016/04/14 20:10:00,85.00,15.88,17.45,90.00,13.20,83.00,23.26,80.00,63.86,51.08,32.00,64.40,35.60,2.00,3.00,3.00,92.48,92.30,,,30.00,54.32,,,
2016/04/14 20:20:00,102.00,16.78,16.55,110.00,15.43,101.00,21.47,94.00,63.14,50.54,31.64,64.40,35.60,2.00,3.00,3.00,92.12,91.40,,,30.00,54.50,,,
2016/04/14 20:30:00,78.00,20.36,15.43,90.00,20.36,78.00,23.26,92.00,63.32,50.90,32.36,64.40,35.60,2.00,3.00,3.00,91.58,91.58,,,31.00,54.50,,,
