date_time,Spot Wind Direction °,Wind Speed mph,Avg. Wind Speed mph,Avg. Wind Direction °,Wind Speed mph,Spot Wind Direction °,Gust Wind Speed mph,Gust Wind Direction °,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Precipitation Yes/No [logic],Road Condition Approach [logic],Road Condition Bridge [logic],Road Temp. Approach °F,Road Temp. Bridge °F,Freeze Point °F,Freeze Point °F,Precipitation Start Time timestamp,Precipitation End Time timestamp,Rel. Humidity %,Sub Surface Temperature °F,Surface Salinity Approach %,Surface Salinity Bridge %,
2016/04/14 19:00:00,21.00,6.93,7.83,20.00,6.93,21.00,13.65,19.00,71.24,55.94,37.58,71.24,42.62,2.00,3.00,3.00,97.34,97.88,,,2010/02/27 06:14:20,2010/02/27 06:17:43,29.00,,,,
2016/04/14 19:10:00,42.00,9.17,8.72,30.00,9.17,42.00,13.42,21.00,71.06,55.94,37.40,71.42,42.62,2.00,3.00,3.00,98.24,98.78,,,2010/02/27 06:14:20,2010/02/27 06:17:43,29.00,,,,
2016/04/14 19:20:00,11.00,8.72,5.37,20.00,8.72,11.00,14.32,15.00,71.78,56.48,38.48,71.78,42.62,2.00,3.00,3.00,97.88,98.60,,,2010/02/27 06:14:20,2010/02/27 06:17:43,29.00,,,,
2016/04/14 19:30:00,64.00,9.84,7.38,20.00,9.84,64.00,17.00,45.00,71.96,56.66,38.48,72.32,42.62,2.00,3.00,3.00,97.70,97.70,,,2010/02/27 06:14:20,2010/02/27 06:17:43,29.00,,,,
2016/04/14 19:40:00,61.00,2.91,4.47,65.00,2.91,61.00,11.41,53.00,71.78,56.48,38.48,72.32,42.62,2.00,3.00,3.00,96.62,96.62,,,2010/02/27 06:14:20,2010/02/27 06:17:43,29.00,,,,
2016/04/14 19:50:00,73.00,7.83,5.82,20.00,7.83,73.00,10.74,18.00,72.68,57.20,39.38,72.68,42.62,2.00,3.00,3.00,96.08,95.72,,,2010/02/27 06:14:20,2010/02/27 06:17:43,29.00,,,,
2016/04/14 20:00:00,57.00,7.16,7.61,55.00,7.16,57.00,12.53,48.00,71.24,56.12,37.76,72.68,42.62,2.00,3.00,3.00,96.08,96.62,,,2010/02/27 06:14:20,2010/02/27 06:17:43,29.00,,,,
2016/04/14 20:10:00,12.00,7.16,6.93,25.00,7.16,12.00,11.41,51.00,71.78,56.48,38.66,72.68,42.62,2.00,3.00,3.00,94.82,95.72,,,2010/02/27 06:14:20,2010/02/27 06:17:43,30.00,,,,
2016/04/14 20:20:00,28.00,4.47,5.14,30.00,4.47,28.00,11.86,54.00,71.42,56.30,38.66,72.68,42.62,2.00,3.00,3.00,94.64,94.64,,,2010/02/27 06:14:20,2010/02/27 06:17:43,30.00,,,,
2016/04/14 20:30:00,103.00,7.83,6.71,95.00,7.83,103.00,11.41,14.00,71.24,56.30,38.48,72.68,42.62,2.00,3.00,3.00,94.46,93.56,,,2010/02/27 06:14:20,2010/02/27 06:17:43,30.00,,,,
