date_time,Spot Wind Direction °,Wind Speed mph,Avg. Wind Speed mph,Avg. Wind Direction °,Wind Speed mph,Spot Wind Direction °,Gust Wind Speed mph,Gust Wind Direction °,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Precipitation Yes/No [logic],Road Condition Approach [logic],Road Condition Bridge [logic],Road Condition Bridge A [logic],Road Temp. Approach °F,Road Temp. Bridge °F,Road Temp. Bridge A °F,Freeze Point Approach °F,Freeze Point Bridge °F,Freeze Point Bridge A °F,Sub Surface Temperature °F,Precipitation Start Time timestamp,Precipitation End Time timestamp,Rel. Humidity %,Sub Surface Temperature °F,Surface Salinity Approach %,Surface Salinity Bridge %,Surface Salinity Bridge A %,
2016/04/14 19:00:00,110.00,8.50,9.62,100.00,8.50,110.00,19.24,79.00,66.74,52.52,24.80,67.46,40.82,2.00,3.00,3.00,3.00,93.92,91.94,90.50,,,,55.04,2016/04/14 06:59:53,2016/04/14 07:01:55,20.00,55.04,,,,
2016/04/14 19:10:00,132.00,8.72,8.28,120.00,8.72,132.00,14.54,107.00,67.64,52.88,26.24,67.64,40.82,2.00,3.00,3.00,3.00,94.82,91.76,90.68,,,,55.04,2016/04/14 06:59:53,2016/04/14 07:01:55,20.00,55.04,,,,
2016/04/14 19:20:00,77.00,11.86,12.08,90.00,11.86,77.00,16.78,93.00,66.92,52.52,22.28,67.64,40.82,2.00,3.00,3.00,3.00,93.56,91.58,90.68,,,,55.04,2016/04/14 06:59:53,2016/04/14 07:01:55,18.00,55.04,,,,
2016/04/14 19:30:00,96.00,8.72,7.61,95.00,8.72,96.00,16.33,66.00,67.82,53.24,24.62,68.00,40.82,2.00,3.00,3.00,3.00,93.74,91.58,90.50,,,,55.22,2016/04/14 06:59:53,2016/04/14 07:01:55,19.00,55.22,,,,
2016/04/14 19:40:00,58.00,7.16,9.62,70.00,7.16,58.00,14.54,91.00,68.00,53.24,25.88,68.54,40.82,2.00,3.00,3.00,3.00,93.38,91.58,90.14,,,,55.40,2016/04/14 06:59:53,2016/04/14 07:01:55,20.00,55.40,,,,
2016/04/14 19:50:00,70.00,8.72,8.72,60.00,8.72,70.00,16.55,75.00,67.82,53.06,26.60,68.54,40.82,2.00,3.00,3.00,3.00,93.02,91.22,90.32,,,,55.40,2016/04/14 06:59:53,2016/04/14 07:01:55,20.00,55.40,,,,
2016/04/14 20:00:00,84.00,6.26,8.72,90.00,6.26,84.00,20.13,72.00,67.64,53.06,26.24,68.54,40.82,2.00,3.00,3.00,3.00,92.84,91.04,89.60,,,,55.58,2016/04/14 06:59:53,2016/04/14 07:01:55,21.00,55.58,,,,
2016/04/14 20:10:00,100.00,8.05,9.84,105.00,8.05,100.00,18.12,50.00,68.18,53.42,27.14,68.90,40.82,2.00,3.00,3.00,3.00,92.48,90.86,89.60,,,,55.58,2016/04/14 06:59:53,2016/04/14 07:01:55,21.00,55.58,,,,
2016/04/14 20:20:00,69.00,6.04,11.86,80.00,6.04,69.00,17.67,74.00,68.00,53.24,27.50,68.90,40.82,2.00,3.00,3.00,3.00,91.58,90.32,88.88,,,,55.58,2016/04/14 06:59:53,2016/04/14 07:01:55,21.00,55.58,,,,
2016/04/14 20:30:00,85.00,4.70,10.07,85.00,9.17,110.00,15.66,94.00,68.72,53.78,29.30,69.80,40.82,2.00,3.00,3.00,3.00,92.48,89.96,88.70,,,,55.58,2016/04/14 06:59:53,2016/04/14 07:01:55,22.00,55.58,,,,
