date_time,Spot Wind Direction °,Wind Speed mph,Avg. Wind Speed mph,Avg. Wind Direction °,Wind Speed mph,Spot Wind Direction °,Gust Wind Speed mph,Gust Wind Direction °,Air Temperature °F,Wet Bulb Temperature °F,Dew Point °F,Max Air Temperature °F,Min Air Temperature °F,Precipitation Yes/No [logic],Precipitation Situation [logic],Road Condition Approach [logic],Road Condition Bridge [logic],Road Temp. Approach °F,Road Temp. Bridge °F,Freeze Point °F,Freeze Point Bridge °F,SubSurface Temperature °F,Precipitation Start Time timestamp,Precipitation End Time timestamp,Rel. Humidity %,Sub Surface Temperature °F,Surface Salinity Approach %,Surface Salinity Bridge %,
2016/04/14 19:00:00,97.00,5.14,7.16,120.00,5.14,97.00,14.54,360.00,70.16,55.22,35.78,70.34,37.58,2.00,,3.00,3.00,100.58,103.46,,,55.04,2013/05/02 03:42:01,2013/05/02 03:45:19,28.00,,,,
2016/04/14 19:10:00,59.00,0.22,7.38,75.00,0.22,59.00,13.65,60.00,69.62,54.86,35.06,70.34,37.58,2.00,,3.00,3.00,101.12,102.92,,,55.04,2013/05/02 03:42:01,2013/05/02 03:45:19,27.00,,,,
2016/04/14 19:20:00,65.00,7.16,6.93,40.00,7.16,65.00,12.75,35.00,71.06,55.76,36.32,71.24,37.58,2.00,,3.00,3.00,100.76,103.10,,,55.04,2013/05/02 03:42:01,2013/05/02 03:45:19,27.00,,,,
2016/04/14 19:30:00,47.00,2.46,3.36,60.00,2.46,105.00,8.72,41.00,71.60,56.12,36.86,71.60,37.58,2.00,,3.00,3.00,100.58,103.28,,,55.22,2013/05/02 03:42:01,2013/05/02 03:45:19,28.00,,,,
2016/04/14 19:40:00,82.00,7.38,6.49,70.00,7.38,82.00,9.84,63.00,71.24,55.76,36.14,71.96,37.58,2.00,,3.00,3.00,99.68,102.38,,,55.22,2013/05/02 03:42:01,2013/05/02 03:45:19,27.00,,,,
2016/04/14 19:50:00,77.00,2.46,3.80,75.00,2.46,77.00,10.96,71.00,71.42,55.94,35.78,71.96,37.58,2.00,,3.00,3.00,99.86,102.74,,,55.22,2013/05/02 03:42:01,2013/05/02 03:45:19,26.00,,,,
2016/04/14 20:00:00,129.00,3.13,5.14,115.00,2.01,128.00,15.43,69.00,71.06,55.58,35.60,72.32,37.58,2.00,,3.00,3.00,100.04,102.74,,,55.22,2013/05/02 03:42:01,2013/05/02 03:45:19,27.00,,,,
2016/04/14 20:10:00,70.00,4.47,6.93,75.00,4.47,109.00,12.75,72.00,70.88,55.58,35.06,72.32,37.58,2.00,,3.00,3.00,99.50,101.30,,,55.22,2013/05/02 03:42:01,2013/05/02 03:45:19,26.00,,,,
2016/04/14 20:20:00,95.00,6.93,6.04,60.00,6.93,95.00,11.63,112.00,71.96,56.30,36.14,72.32,37.58,2.00,,3.00,3.00,99.32,101.30,,,55.40,2013/05/02 03:42:01,2013/05/02 03:45:19,26.00,,,,
2016/04/14 20:30:00,106.00,9.62,8.28,100.00,9.62,106.00,12.08,118.00,70.52,55.22,34.52,72.32,37.58,2.00,,3.00,3.00,98.42,100.58,,,55.40,2013/05/02 03:42:01,2013/05/02 03:45:19,26.00,,,,
